Body Name,Auditor,Body type
East Sussex County Council,BDO,County Council
Babergh District Council,BDO,District Council
Braintree District Council,BDO,District Council
Castle Point Borough Council,BDO,District Council
Eastbourne Borough Council,BDO,District Council
Epping Forest District Council,BDO,District Council
Hastings Borough Council,BDO,District Council
Lewes District Council,BDO,District Council
Maldon District Council,BDO,District Council
Rochford District Council,BDO,District Council
Rother District Council,BDO,District Council
Wealden District Council,BDO,District Council
Medway Council,BDO,Unitary Authority
Slough Borough Council,BDO,Unitary Authority
Southend on Sea Borough Council,BDO,Unitary Authority
North Yorkshire County Council,Deloitte,County Council
Hambleton District Council,Deloitte,District Council
Richmondshire District Council,Deloitte,District Council
Ryedale District Council,Deloitte,District Council
City of London Corporation,Deloitte,London Borough Council
London Borough of Harrow,Deloitte,London Borough Council
London Borough of Hillingdon,Deloitte,London Borough Council
London Borough of Lambeth,Deloitte,London Borough Council
Newcastle City Council,Deloitte,Metropolitan District Council
Middlesbrough Council,Deloitte,Unitary Authority
Northumberland Council,Deloitte,Unitary Authority
Essex County Council,Ernst & Young LLP,County Council
Hampshire County Council,Ernst & Young LLP,County Council
Hertfordshire County Council,Ernst & Young LLP,County Council
Norfolk County Council,Ernst & Young LLP,County Council
Oxfordshire County Council,Ernst & Young LLP,County Council
Suffolk County Council,Ernst & Young LLP,County Council
West Sussex County Council,Ernst & Young LLP,County Council
Adur District Council,Ernst & Young LLP,District Council
Arun District Council,Ernst & Young LLP,District Council
Aylesbury Vale District Council,Ernst & Young LLP,District Council
Basildon Borough Council,Ernst & Young LLP,District Council
Borough Council of King's Lynn and West Norfolk,Ernst & Young LLP,District Council
Borough of Broxbourne,Ernst & Young LLP,District Council
Breckland Council,Ernst & Young LLP,District Council
Brentwood Borough Council,Ernst & Young LLP,District Council
Broadland District Council,Ernst & Young LLP,District Council
Cambridge City Council,Ernst & Young LLP,District Council
Chelmsford City Council,Ernst & Young LLP,District Council
Cherwell District Council,Ernst & Young LLP,District Council
Chichester District Council,Ernst & Young LLP,District Council
Chiltern District Council,Ernst & Young LLP,District Council
Colchester Borough Council,Ernst & Young LLP,District Council
Crawley Borough Council,Ernst & Young LLP,District Council
Dacorum Borough Council,Ernst & Young LLP,District Council
East Cambridgeshire District Council,Ernst & Young LLP,District Council
East Hampshire District Council,Ernst & Young LLP,District Council
Eastleigh Borough Council,Ernst & Young LLP,District Council
Fareham Borough Council,Ernst & Young LLP,District Council
Forest Heath District Council,Ernst & Young LLP,District Council
Gosport Borough Council,Ernst & Young LLP,District Council
Great Yarmouth Borough Council,Ernst & Young LLP,District Council
Harlow District Council,Ernst & Young LLP,District Council
Hart District Council,Ernst & Young LLP,District Council
Havant Borough Council,Ernst & Young LLP,District Council
Horsham District Council,Ernst & Young LLP,District Council
Mid Suffolk District Council,Ernst & Young LLP,District Council
Mid Sussex District Council,Ernst & Young LLP,District Council
New Forest District Council,Ernst & Young LLP,District Council
Norwich City Council,Ernst & Young LLP,District Council
