Body,Audit Firm,Body type
Barnet London Borough Council,BDO LLP,London Borough Council
Bristol City Council,BDO LLP,Unitary Authority
Cambridgeshire County Council,BDO LLP,County Council
City of London Corporation,BDO LLP,London Borough Council
Eastbourne Borough Council,BDO LLP,District Council
Epping Forest District Council,BDO LLP,District Council
Haringey London Borough Council,BDO LLP,London Borough Council
Hastings Borough Council,BDO LLP,District Council
Lewes District Council,BDO LLP,District Council
London Borough of Enfield,BDO LLP,London Borough Council
Medway Council,BDO LLP,Unitary Authority
Plymouth City Council,BDO LLP,Unitary Authority
Rother District Council,BDO LLP,District Council
Slough Borough Council,BDO LLP,Unitary Authority
Southend on Sea Borough Council,BDO LLP,Unitary Authority
Wealden District Council,BDO LLP,District Council
Adur District Council,Ernst & Young LLP,District Council
Arun District Council,Ernst & Young LLP,District Council
Aylesbury Vale District Council,Ernst & Young LLP,District Council
Babergh District Council,Ernst & Young LLP,District Council
Basildon Borough Council,Ernst & Young LLP,District Council
Basingstoke and Deane Borough Council,Ernst & Young LLP,District Council
Bedford Borough Council,Ernst & Young LLP,Unitary Authority
Blaby District Council,Ernst & Young LLP,District Council
Borough Council of King's Lynn and West Norfolk,Ernst & Young LLP,District Council
Borough of Broxbourne,Ernst & Young LLP,District Council
Bracknell Forest Borough Council,Ernst & Young LLP,Unitary Authority
Braintree District Council,Ernst & Young LLP,District Council
Breckland Council,Ernst & Young LLP,District Council
Brentwood Borough Council,Ernst & Young LLP,District Council
Brighton and Hove City Council,Ernst & Young LLP,Unitary Authority
Broadland District Council,Ernst & Young LLP,District Council
Calderdale Metropolitan Borough Council,Ernst & Young LLP,Metropolitan District Council
Cambridge City Council,Ernst & Young LLP,District Council
Castle Point Borough Council,Ernst & Young LLP,District Council
Central Bedfordshire Council,Ernst & Young LLP,Unitary Authority
Chelmsford City Council,Ernst & Young LLP,District Council
Cherwell District Council,Ernst & Young LLP,District Council
Chichester District Council,Ernst & Young LLP,District Council
Chiltern District Council,Ernst & Young LLP,District Council
Colchester Borough Council,Ernst & Young LLP,District Council
Crawley Borough Council,Ernst & Young LLP,District Council
Dacorum Borough Council,Ernst & Young LLP,District Council
Darlington Borough Council,Ernst & Young LLP,Unitary Authority
Derby City Council,Ernst & Young LLP,Unitary Authority
East Cambridgeshire District Council,Ernst & Young LLP,District Council
East Hampshire District Council,Ernst & Young LLP,District Council
East Hertfordshire District Council,Ernst & Young LLP,District Council
Eastleigh Borough Council,Ernst & Young LLP,District Council
Erewash Borough Council,Ernst & Young LLP,District Council
Essex County Council,Ernst & Young LLP,County Council
Fareham Borough Council,Ernst & Young LLP,District Council
Fenland District Council,Ernst & Young LLP,District Council
Forest Heath District Council,Ernst & Young LLP,District Council
Gosport Borough Council,Ernst & Young LLP,District Council
Great Yarmouth Borough Council,Ernst & Young LLP,District Council
Hambleton District Council,Ernst & Young LLP,District Council
Hampshire County Council,Ernst & Young LLP,County Council
Harlow District Council,Ernst & Young LLP,District Council
Hart District Council,Ernst & Young LLP,District Council
Havant Borough Council,Ernst & Young LLP,District Council
Hertfordshire County Council,Ernst & Young LLP,County Council
Hertsmere Borough Council,Ernst & Young LLP,District Council
Hinckley and Bosworth Borough Council,Ernst & Young LLP,District Council
Horsham District Council,Ernst & Young LLP,District Council
Huntingdonshire District Council,Ernst & Young LLP,District Council
Ipswich Borough Council,Ernst & Young LLP,District Council
Isle of Wight Council,Ernst & Young LLP,Unitary Authority
London Borough of Havering Council,Ernst & Young LLP,London Borough Council
London Borough of Hillingdon,Ernst & Young LLP,London Borough Council
Luton Borough Council,Ernst & Young LLP,Unitary Authority
Maldon District Council,Ernst & Young LLP,District Council
Malvern Hills District Council,Ernst & Young LLP,District Council
Melton Borough Council,Ernst & Young LLP,District Council
Merton Council,Ernst & Young LLP,London Borough Council
Mid Suffolk District Council,Ernst & Young LLP,District Council
Mid Sussex District Council,Ernst & Young LLP,District Council
Middlesbrough Council,Ernst & Young LLP,Unitary Authority
Milton Keynes Council,Ernst & Young LLP,Unitary Authority
New Forest District Council,Ernst & Young LLP,District Council
Newcastle City Council,Ernst & Young LLP,Metropolitan District Council
Newham London Borough Council,Ernst & Young LLP,London Borough Council
Norfolk County Council,Ernst & Young LLP,County Council
North Hertfordshire District Council,Ernst & Young LLP,District Council
North Norfolk District Council,Ernst & Young LLP,District Council
North Warwickshire Borough Council,Ernst & Young LLP,District Council
Northumberland Council,Ernst & Young LLP,Unitary Authority
Norwich City Council,Ernst & Young LLP,District Council
Oxford City Council,Ernst & Young LLP,District Council
Oxfordshire County Council,Ernst & Young LLP,County Council
Peterborough City Council,Ernst & Young LLP,Unitary Authority
Portsmouth City Council,Ernst & Young LLP,Unitary Authority
Reading Borough Council,Ernst & Young LLP,Unitary Authority
Richmondshire District Council,Ernst & Young LLP,District Council
Rochford District Council,Ernst & Young LLP,District Council
Rushmoor Borough Council,Ernst & Young LLP,District Council
Sefton Council,Ernst & Young LLP,Metropolitan District Council
South Bucks District Council,Ernst & Young LLP,District Council
South Cambridgeshire District Council,Ernst & Young LLP,District Council
South Derbyshire District Council,Ernst & Young LLP,District Council
South Norfolk District Council,Ernst & Young LLP,District Council
South Northamptonshire Council,Ernst & Young LLP,District Council
South Oxfordshire District Council,Ernst & Young LLP,District Council
South Tyneside Council,Ernst & Young LLP,Metropolitan District Council
Southampton City Council,Ernst & Young LLP,Unitary Authority
St Albans City and District Council,Ernst & Young LLP,District Council
St Edmundsbury Borough Council,Ernst & Young LLP,District Council
Staffordshire County Council,Ernst & Young LLP,County Council
Stevenage Borough Council,Ernst & Young LLP,District Council
Stratford-on-Avon District Council,Ernst & Young LLP,District Council
Suffolk Coastal District Council,Ernst & Young LLP,District Council
Suffolk County Council,Ernst & Young LLP,County Council
Tendring District Council,Ernst & Young LLP,District Council
Test Valley Borough Council,Ernst & Young LLP,District Council
Three Rivers District Council,Ernst & Young LLP,District Council
Thurrock Council,Ernst & Young LLP,Unitary Authority
Uttlesford District Council,Ernst & Young LLP,District Council
Vale of White Horse District Council,Ernst & Young LLP,District Council
Walsall Metropolitan Borough Council,Ernst & Young LLP,Metropolitan District Council
Wandsworth Borough Council,Ernst & Young LLP,London Borough Council
Watford Borough Council,Ernst & Young LLP,District Council
Waveney District Council,Ernst & Young LLP,District Council
Welwyn Hatfield Borough Council,Ernst & Young LLP,District Council
West Sussex County Council,Ernst & Young LLP,County Council
Winchester City Council,Ernst & Young LLP,District Council
Wokingham Borough Council,Ernst & Young LLP,Unitary Authority
Worcester City Council,Ernst & Young LLP,District Council
Worthing Borough Council,Ernst & Young LLP,District Council
Wychavon District Council,Ernst & Young LLP,District Council
Wycombe District Council,Ernst & Young LLP,District Council
Allerdale Borough Council,Grant Thornton UK LLP,District Council
Ashford Borough Council,Grant Thornton UK LLP,District Council
Barrow-in-Furness Borough Council,Grant Thornton UK LLP,District Council
Bath and North East Somerset Council,Grant Thornton UK LLP,Unitary Authority
Bexley London Borough Council,Grant Thornton UK LLP,London Borough Council
Birmingham City Council,Grant Thornton UK LLP,Metropolitan District Council
Blackburn with Darwen Borough Council,Grant Thornton UK LLP,Unitary Authority
Borough of Poole,Grant Thornton UK LLP,Unitary Authority
Bournemouth Borough Council,Grant Thornton UK LLP,Unitary Authority
Bromsgrove District Council,Grant Thornton UK LLP,District Council
Broxtowe Borough Council,Grant Thornton UK LLP,District Council
Buckinghamshire County Council,Grant Thornton UK LLP,County Council
Burnley Borough Council,Grant Thornton UK LLP,District Council
Cannock Chase District Council,Grant Thornton UK LLP,District Council
Canterbury City Council,Grant Thornton UK LLP,District Council
Carlisle City Council,Grant Thornton UK LLP,District Council
Cheltenham Borough Council,Grant Thornton UK LLP,District Council
Cheshire East Council,Grant Thornton UK LLP,Unitary Authority
Cheshire West and Chester Council,Grant Thornton UK LLP,Unitary Authority
Chorley Borough Council,Grant Thornton UK LLP,District Council
Christchurch Borough Council,Grant Thornton UK LLP,District Council
Copeland Borough Council,Grant Thornton UK LLP,District Council
Cornwall Council,Grant Thornton UK LLP,Unitary Authority
Cotswold District Council,Grant Thornton UK LLP,District Council
Council of the Isles of Scilly,Grant Thornton UK LLP,Unitary Authority
Coventry City Council,Grant Thornton UK LLP,Metropolitan District Council
Croydon London Borough Council,Grant Thornton UK LLP,London Borough Council
Cumbria County Council,Grant Thornton UK LLP,County Council
Dartford Borough Council,Grant Thornton UK LLP,District Council
Devon County Council,Grant Thornton UK LLP,County Council
Dover District Council,Grant Thornton UK LLP,District Council
Dudley Metropolitan Borough Council,Grant Thornton UK LLP,Metropolitan District Council
East Dorset District Council,Grant Thornton UK LLP,District Council
East Staffordshire Borough Council,Grant Thornton UK LLP,District Council
Eden District Council,Grant Thornton UK LLP,District Council
Elmbridge Borough Council,Grant Thornton UK LLP,District Council
Epsom and Ewell Borough Council,Grant Thornton UK LLP,District Council
Forest of Dean District Council,Grant Thornton UK LLP,District Council
Gloucestershire County Council,Grant Thornton UK LLP,County Council
Gravesham Borough Council,Grant Thornton UK LLP,District Council
Guildford Borough Council,Grant Thornton UK LLP,District Council
Halton Borough Council,Grant Thornton UK LLP,Unitary Authority
Herefordshire Council,Grant Thornton UK LLP,Unitary Authority
High Peak Borough Council,Grant Thornton UK LLP,District Council
Hyndburn Borough Council,Grant Thornton UK LLP,District Council
Kent County Council,Grant Thornton UK LLP,County Council
Lancashire County Council,Grant Thornton UK LLP,County Council
Lichfield District Council,Grant Thornton UK LLP,District Council
Liverpool City Council,Grant Thornton UK LLP,Metropolitan District Council
London Borough of Lewisham,Grant Thornton UK LLP,London Borough Council
London Borough of Richmond Upon Thames,Grant Thornton UK LLP,London Borough Council
London Borough of Sutton,Grant Thornton UK LLP,London Borough Council
Maidstone Borough Council,Grant Thornton UK LLP,District Council
Manchester City Council,Grant Thornton UK LLP,Metropolitan District Council
Mendip District Council,Grant Thornton UK LLP,District Council
Mid Devon District Council,Grant Thornton UK LLP,District Council
Mole Valley District Council,Grant Thornton UK LLP,District Council
Newcastle Under Lyme Borough Council,Grant Thornton UK LLP,District Council
North Devon District Council,Grant Thornton UK LLP,District Council
North Dorset District Council,Grant Thornton UK LLP,District Council
North Somerset Council,Grant Thornton UK LLP,Unitary Authority
Nuneaton And Bedworth Borough Council,Grant Thornton UK LLP,District Council
Oldham Metropolitan Borough Council,Grant Thornton UK LLP,Metropolitan District Council
Pendle Borough Council,Grant Thornton UK LLP,District Council
Preston City Council,Grant Thornton UK LLP,District Council
Purbeck District Council,Grant Thornton UK LLP,District Council
Redditch Borough Council,Grant Thornton UK LLP,District Council
Ribble Valley Borough Council,Grant Thornton UK LLP,District Council
Rochdale Metropolitan Borough Council,Grant Thornton UK LLP,Metropolitan District Council
Rossendale Borough Council,Grant Thornton UK LLP,District Council
Royal Borough of Greenwich,Grant Thornton UK LLP,London Borough Council
Royal Borough of Kingston Upon Thames,Grant Thornton UK LLP,London Borough Council
Rugby Borough Council,Grant Thornton UK LLP,District Council
Salford City Council,Grant Thornton UK LLP,Metropolitan District Council
Sedgemoor District Council,Grant Thornton UK LLP,District Council
Sevenoaks District Council,Grant Thornton UK LLP,District Council
Shepway District Council,Grant Thornton UK LLP,District Council
Shropshire Council,Grant Thornton UK LLP,Unitary Authority
Solihull Metropolitan Borough Council,Grant Thornton UK LLP,Metropolitan District Council
Somerset County Council,Grant Thornton UK LLP,County Council
South Gloucestershire Council,Grant Thornton UK LLP,Unitary Authority
South Lakeland District Council,Grant Thornton UK LLP,District Council
South Ribble Borough Council,Grant Thornton UK LLP,District Council
South Somerset District Council,Grant Thornton UK LLP,District Council
South Staffordshire Council,Grant Thornton UK LLP,District Council
Southwark Council,Grant Thornton UK LLP,London Borough Council
St Helens Metropolitan Borough Council,Grant Thornton UK LLP,Metropolitan District Council
