ons_code,ons_name,class,region,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
E09000007,Camden,London borough,London,309.65,292.64,318.08,308.08,298.1,244.55,244.15,244.86,247.54,262.69
E09000011,Greenwich,London borough,London,273.69,257.81,276.6,269.48,262.79,219.92,226.78,231.68,235.18,252.9
E09000012,Hackney,London borough,London,337.54,309.96,341.66,335.74,318.41,258.35,257.78,253.71,256.85,272.19
E09000013,Hammersmith and Fulham,London borough,London,210.22,198.5,215.32,206.99,200.04,157.86,157.28,156.25,158.67,168.64
E09000019,Islington,London borough,London,278.49,262.42,293.58,285.03,274.24,224.36,225.12,223.61,224.99,239.78
E09000020,Kensington and Chelsea,London borough,London,205.97,194.96,211.1,205.52,202.36,158.4,156.39,158.84,160.63,169.28
E09000022,Lambeth,London borough,London,358.42,337.31,364.01,352.37,342.44,286.05,287.02,293,293.01,311.65
E09000023,Lewisham,London borough,London,314.1,295.49,311.92,304.98,294.3,244.47,249.55,254.25,259.3,276.95
E09000028,Southwark,London borough,London,365.25,343.52,364.16,353.47,337.72,282.5,285.09,291.98,296.96,318.51
E09000030,Tower Hamlets,London borough,London,342.93,316.53,358.94,351.11,338,277.96,279.82,282.34,284.94,307.77
E09000032,Wandsworth,London borough,London,230.84,216.63,241.03,233.32,230.57,179.47,184.16,185.82,189.75,201.33
E09000033,Westminster,London borough,London,269.91,253.2,284.1,273,263.24,204.19,203.44,203.85,205.75,216.42
E08000016,Barnsley,Metropolitan district,Yorkshire and The Humber,215.49,205.08,216.8,212.49,211.89,172.14,177.39,179.55,184.65,197.57
E08000025,Birmingham,Metropolitan district,West Midlands,1159.87,1095.76,1154.44,1111.3,1064.81,868.93,880.25,888.93,904.19,961.86
E08000001,Bolton,Metropolitan district,North West,259.85,246.73,259.36,255.61,251.09,204.28,210.47,213.26,214.97,229.33
E08000032,Bradford,Metropolitan district,Yorkshire and The Humber,491.63,465.04,486.89,475.83,468.17,384.63,389.15,398.51,402.31,427.91
E08000002,Bury,Metropolitan district,North West,161.45,153.68,157.53,155.89,155.33,128.7,130.86,133.76,135.62,143.84
E08000033,Calderdale,Metropolitan district,Yorkshire and The Humber,180.76,171.67,178.31,176.31,176.71,145.74,147.32,150.8,153.21,163.05
E08000026,Coventry,Metropolitan district,West Midlands,302.63,287.26,301.49,292.97,289.87,243.1,247.22,251.38,257.44,275.79
E08000017,Doncaster,Metropolitan district,Yorkshire and The Humber,276.48,259.57,272.56,265.52,266.53,215.86,221.45,225.52,232.38,248.23
E08000027,Dudley,Metropolitan district,West Midlands,269.61,258.06,271.76,265.45,264.32,217.55,221.97,226.33,231.02,246.21
E08000037,Gateshead,Metropolitan district,North East,217.08,206.82,217.4,210.75,210.14,172.01,174.7,177.42,179.6,190.27
E08000034,Kirklees,Metropolitan district,Yorkshire and The Humber,349.06,332.56,348.82,343.35,342.09,283,288.99,296.88,300.36,320.2
E08000011,Knowsley,Metropolitan district,North West,198.22,183.02,195.41,187.58,179.97,144.92,147.94,151.02,153.25,163.61
E08000035,Leeds,Metropolitan district,Yorkshire and The Humber,645.35,612.61,635.91,631.69,631.99,522.9,532.45,542.52,553.87,588.91
E08000012,Liverpool,Metropolitan district,North West,579.95,530.46,561.51,540.19,522.33,430.29,440.18,448.65,455.32,487.32
E08000003,Manchester,Metropolitan district,North West,568.35,522.24,554.76,538.25,525.61,421.93,429.01,432.43,441.28,472.22
E08000021,Newcastle upon Tyne,Metropolitan district,North East,311.39,295.54,311.58,300.49,291.83,239.11,244.14,249.23,252.79,269.06
E08000022,North Tyneside,Metropolitan district,North East,197.55,187.87,193.81,188.65,190.59,158.11,161.87,165.11,168.65,180.53
E08000004,Oldham,Metropolitan district,North West,233.69,222.45,229.34,223.61,219.5,182.19,184.04,185.62,188.36,199.99
E08000005,Rochdale,Metropolitan district,North West,223.58,210.58,218.02,214.75,209.54,172.28,175.77,177.68,182.28,194.39
E08000018,Rotherham,Metropolitan district,Yorkshire and The Humber,242.91,230.6,239.45,235.36,232.85,194.33,198.83,202.73,205.55,218.75
E08000006,Salford,Metropolitan district,North West,255.39,242.01,262.21,257,251.57,210.36,212.41,216.42,224.15,243.3
E08000028,Sandwell,Metropolitan district,West Midlands,329.61,313.41,331.15,320.72,310.71,254.17,259.74,263.66,269.39,286.71
E08000014,Sefton,Metropolitan district,North West,269.49,255.81,268.74,260.45,260.15,213.72,218.52,224.67,228.5,244.26
E08000019,Sheffield,Metropolitan district,Yorkshire and The Humber,535.21,508.19,525.92,509.76,498.73,414.56,420.83,431.09,439.33,467.86
E08000029,Solihull,Metropolitan district,West Midlands,167.59,160.54,164.98,163.01,167.86,141.06,144.15,146.2,148.3,157.69
E08000023,South Tyneside,Metropolitan district,North East,172.09,160.58,170.28,164.75,162.03,131.28,134.4,136.57,138.68,147.37
E08000013,St Helens,Metropolitan district,North West,175.26,164.41,173.76,168.31,167.59,136.2,140.11,143.44,145.45,155.37
E08000007,Stockport,Metropolitan district,North West,247.81,238.43,244.1,242.65,245.95,208.62,213.75,216.94,221.41,235.76
E08000024,Sunderland,Metropolitan district,North East,290.58,275,293.26,284.35,277.55,224.82,230.61,234.58,238.03,252.89
E08000008,Tameside,Metropolitan district,North West,208.67,198.54,206.13,203.8,199.68,165.54,170.08,173.21,177.71,190.12
E08000009,Trafford,Metropolitan district,North West,178.54,170.29,174.34,171.61,174.9,143.59,146.43,149.53,153.12,163
E08000036,Wakefield,Metropolitan district,Yorkshire and The Humber,284.61,269.97,285.06,282.23,282.46,231.79,238.27,248.17,256.48,275.63
E08000030,Walsall,Metropolitan district,West Midlands,276.49,262.81,273.69,265.37,260.56,222.3,226.9,230.24,234.01,249.05
E08000010,Wigan,Metropolitan district,North West,278.62,265.69,281.75,277.77,277.14,218.88,223.04,225.88,226.65,243.87
E08000015,Wirral,Metropolitan district,North West,323.49,306.36,323.55,315.02,314.08,249.96,255.58,262.27,266.28,283.9
E08000031,Wolverhampton,Metropolitan district,West Midlands,271.79,258.51,273.7,265.96,259.19,214.41,217.49,220.98,225.32,239.77
E09000002,Barking and Dagenham,London borough,London,182.34,173.49,186,180.51,174.43,145.63,148.3,151.31,153.6,163.02
E09000003,Barnet,London borough,London,287.52,276.59,293.17,294.74,301.06,256.94,258.8,260.01,266.19,284.51
E09000004,Bexley,London borough,London,181.33,174.11,177.82,174.06,178.72,155.15,157.01,158.55,161.54,171.15
E09000005,Brent,London borough,London,301.15,284.75,303.86,294.65,287.18,247.62,252.68,256.14,260.28,277.06
E09000006,Bromley,London borough,London,227.56,218.56,226.34,228.94,238.19,202.24,204.03,203.65,211.01,223.68
E09000008,Croydon,London borough,London,311.57,298.05,316.08,314.75,316.64,271.36,273.84,279.14,287.92,308.71
E09000009,Ealing,London borough,London,303.05,287.36,306.97,300.84,299.09,245.67,243.71,247.42,251.98,271.1
E09000010,Enfield,London borough,London,281.64,270.29,280.58,273.41,267.74,228.44,229.75,232.13,235.15,248.7
E09000014,Haringey,London borough,London,283.44,268.15,283.23,272.05,265.2,221.19,222.38,221.38,220.95,233.93
E09000015,Harrow,London borough,London,192.59,185.37,193.76,192.25,193.9,169.99,172.53,173.91,180.64,192.1
E09000016,Havering,London borough,London,186.23,179.96,185.72,187.11,192.73,169.73,172.59,170.81,172.6,182.19
E09000017,Hillingdon,London borough,London,220.02,210.19,225.43,224.71,227.19,189.56,185.3,180.84,181.82,194.76
E09000018,Hounslow,London borough,London,209.77,199.06,211.03,208.46,208.11,171.57,172.71,174.17,180.31,190.99
E09000021,Kingston upon Thames,London borough,London,136.91,131.93,139.85,141.55,145.8,123.42,123.63,119.87,124.56,132.42
E09000024,Merton,London borough,London,169.27,161.55,167.2,165.9,166.95,140.2,139.82,139.57,142.23,150.77
E09000025,Newham,London borough,London,335.79,308.84,332.3,322.07,312.54,253.16,252.18,254.84,258.91,280.58
E09000026,Redbridge,London borough,London,221.21,212.37,219.62,216,215.05,182.14,185.37,189.26,195.61,210.05
E09000027,Richmond upon Thames,London borough,London,166.68,162.46,169.82,170.88,177.45,153.46,152.22,151.32,157.54,166.04
E09000029,Sutton,London borough,London,170.96,164.59,168.73,166.65,169.95,149.39,148.52,149.57,151.44,160.14
E09000031,Waltham Forest,London borough,London,242.93,230.55,242.67,237.12,234.05,201.88,204.88,206.42,209.21,221.98
E10000002,Buckinghamshire,County council,South East,337.18,330.4,339.04,339.38,361.21,318.56,324.67,333.44,348.24,..
E10000003,Cambridgeshire,County council,East,389.59,378.11,398.32,399.91,418.97,356.01,357.65,365.54,386.1,412.81
E10000006,Cumbria,County council,North West,409.95,400.62,404.68,399.43,406.6,352.46,360.84,369.29,378.75,404.44
E10000007,Derbyshire,County council,East Midlands,540.11,525.66,545.14,534.81,551.33,453.47,468.62,483.46,498.28,534.99
E10000008,Devon,County council,South West,558.23,544.9,556.56,552.74,576.19,504.36,520.8,536.89,551.99,590.85
E10000009,Dorset,County council,South West,289.93,285.74,293.85,294.46,310.65,268.17,276.45,287.88,..,..
