ons_code,ons_name,class,region,201011_201112,201112_201213,201213_201314,201314_201415,201415_201516,201516_201617,201617_201718,201718_201819,201819_201920,201516_202021
E09000007,Camden,London borough,London,-0.07,-0.04,-0.01,-0.05,-0.05,-0.03,0.00,0.00,0.07,0.04
E09000011,Greenwich,London borough,London,-0.08,-0.04,0.00,-0.05,-0.04,-0.02,0.03,0.02,0.09,0.13
E09000012,Hackney,London borough,London,-0.09,-0.07,0.00,-0.05,-0.06,-0.04,0.00,-0.02,0.07,0.02
E09000013,Hammersmith and Fulham,London borough,London,-0.07,-0.04,-0.01,-0.05,-0.05,-0.04,0.00,-0.01,0.08,0.02
E09000019,Islington,London borough,London,-0.09,-0.04,0.00,-0.04,-0.05,-0.03,0.00,-0.01,0.07,0.04
E09000020,Kensington and Chelsea,London borough,London,-0.05,-0.04,-0.02,-0.05,-0.03,-0.05,-0.01,0.02,0.07,0.01
E09000022,Lambeth,London borough,London,-0.08,-0.05,-0.01,-0.05,-0.05,-0.03,0.00,0.02,0.06,0.06
E09000023,Lewisham,London borough,London,-0.07,-0.04,-0.01,-0.05,-0.05,-0.03,0.02,0.02,0.09,0.10
E09000028,Southwark,London borough,London,-0.08,-0.05,-0.01,-0.05,-0.06,-0.04,0.01,0.02,0.09,0.09
E09000030,Tower Hamlets,London borough,London,-0.09,-0.06,0.00,-0.05,-0.05,-0.02,0.01,0.01,0.09,0.08
E09000032,Wandsworth,London borough,London,-0.06,-0.05,0.00,-0.05,-0.03,-0.02,0.03,0.01,0.08,0.10
E09000033,Westminster,London borough,London,-0.07,-0.05,-0.01,-0.06,-0.05,-0.04,0.00,0.00,0.06,0.02
E08000016,Barnsley,Metropolitan district,Yorkshire and The Humber,-0.08,-0.04,-0.01,-0.04,-0.02,-0.04,0.03,0.01,0.10,0.10
E08000025,Birmingham,Metropolitan district,West Midlands,-0.08,-0.04,-0.01,-0.05,-0.06,-0.04,0.01,0.01,0.08,0.06
E08000001,Bolton,Metropolitan district,North West,-0.07,-0.04,-0.01,-0.04,-0.04,-0.04,0.03,0.01,0.08,0.08
E08000032,Bradford,Metropolitan district,Yorkshire and The Humber,-0.09,-0.04,-0.01,-0.04,-0.04,-0.03,0.01,0.02,0.07,0.08
E08000002,Bury,Metropolitan district,North West,-0.04,-0.04,-0.02,-0.03,-0.02,-0.03,0.02,0.02,0.08,0.08
E08000033,Calderdale,Metropolitan district,Yorkshire and The Humber,-0.05,-0.04,-0.02,-0.03,-0.02,-0.04,0.01,0.02,0.08,0.08
E08000026,Coventry,Metropolitan district,West Midlands,-0.06,-0.04,-0.01,-0.04,-0.04,-0.02,0.02,0.02,0.10,0.11
E08000017,Doncaster,Metropolitan district,Yorkshire and The Humber,-0.09,-0.05,-0.01,-0.04,-0.03,-0.03,0.03,0.02,0.10,0.11
E08000027,Dudley,Metropolitan district,West Midlands,-0.03,-0.03,-0.01,-0.04,-0.03,-0.03,0.02,0.02,0.09,0.10
E08000037,Gateshead,Metropolitan district,North East,-0.07,-0.04,-0.01,-0.04,-0.04,-0.04,0.02,0.02,0.07,0.06
E08000034,Kirklees,Metropolitan district,Yorkshire and The Humber,-0.04,-0.03,-0.01,-0.03,-0.02,-0.03,0.02,0.03,0.08,0.10
E08000011,Knowsley,Metropolitan district,North West,-0.09,-0.07,-0.01,-0.06,-0.06,-0.04,0.02,0.02,0.08,0.08
E08000035,Leeds,Metropolitan district,Yorkshire and The Humber,-0.05,-0.04,-0.02,-0.03,-0.02,-0.03,0.02,0.02,0.09,0.09
E08000012,Liverpool,Metropolitan district,North West,-0.09,-0.07,-0.01,-0.06,-0.06,-0.02,0.02,0.02,0.09,0.11
