Local authority,Class,Trading_201617,Trading_201718,Trading_201819,Average,Population_2018,Trading_201617_popweight,Trading_201718_popweight,Trading_201819_popweight
Newham,London borough,-5043.5,-9099,-11803,-8648.5,352005,-14.32792148,-25.84906464,-33.53077371
Camden,London borough,-3872.55,-4542,-5012,-4475.52,262226,-14.76798639,-17.3209369,-19.11328396
Enfield,London borough,-4430.55,-4632,-4353,-4471.85,333869,-13.27032459,-13.87370496,-13.03804786
Southwark,London borough,-1908,-3265,-5573,-3582,317256,-6.014070656,-10.29137353,-17.56625564
Haringey,London borough,-1994.71,-2516.1,-2217.8,-2242.87,270624,-7.370780123,-9.297401561,-8.195134208
Islington,London borough,-1597,-1705,-1976,-1759.33,239142,-6.678040662,-7.129655184,-8.262873105
Greenwich,London borough,-1522,-1797,-2078,-1799,286186,-5.318219619,-6.279133151,-7.261012069
Bexley,London borough,-1214,-1605,-1416,-1411.67,247258,-4.909851248,-6.491195431,-5.72681167
Barking & Dagenham,London borough,-355,-1097,-392,-614.67,211998,-1.674544099,-5.174577119,-1.849074048
Hammersmith & Fulham,London borough,2062,-2091,-1374,-467.67,185426,11.12033911,-11.27673573,-7.409964083
Redbridge,London borough,0,-306,-1828,-711.33,303858,0,-1.007049345,-6.015967985
Havering,London borough,-2140,397,326,-472.33,257810,-8.300686552,1.53989372,1.26449711
Merton,London borough,0,0,-19,-6.33,206186,0,0,-0.092149806
Barnet,London borough,0,0,0,0,392140,0,0,0
Brent,London borough,0,0,0,0,330795,0,0,0
Bromley,London borough,0,0,0,0,331096,0,0,0
Ealing,London borough,0,0,0,0,341982,0,0,0
Hackney,London borough,0,0,0,0,279665,0,0,0
Harrow,London borough,0,0,0,0,250149,0,0,0
Hillingdon,London borough,0,0,0,0,304824,0,0,0
Kingston upon Thames,London borough,0,0,0,0,175470,0,0,0
Lambeth,London borough,0,0,0,0,325917,0,0,0
Lewisham,London borough,0,0,0,0,303536,0,0,0
Richmond upon Thames,London borough,0,0,0,0,196904,0,0,0
Sutton,London borough,0,0,0,0,204525,0,0,0
Tower Hamlets,London borough,0,0,0,0,317705,0,0,0
Waltham Forest,London borough,0,0,0,0,276700,0,0,0
Westminster,London borough,0,0,0,0,255324,0,0,0
Croydon,London borough,71.89,145.83,-87.97,43.25,385346,0.186559611,0.378439117,-0.228288343
Wandsworth,London borough,145,0,0,48.33,326474,0.444139503,0,0
Kensington & Chelsea,London borough,98,162,-130,43.33,156197,0.627412818,1.037151802,-0.83228231
Hounslow,London borough,325,0,0,108.33,270782,1.200227489,0,0
Newcastle upon Tyne,Metropolitan district,-13670,-15308,-13706,-14228,300196,-45.53691588,-50.99335101,-45.65683753
Manchester,Metropolitan district,-21322,-21871,-21811,-21668,547627,-38.93526068,-39.93776786,-39.82820423
Bury,Metropolitan district,-4902,-6695,-8260,-6619,190108,-25.78534307,-35.21682412,-43.44898689
Coventry,Metropolitan district,-10789,-9828,-9534,-10050.33,366785,-29.41505241,-26.79498889,-25.99342939
Kirklees,Metropolitan district,-12046,-1453,-10274,-7924.33,438727,-27.45670998,-3.311854525,-23.41775181
Stockport,Metropolitan district,-5659,-2110,-7499,-5089.33,291775,-19.39508183,-7.231599692,-25.70131094
Salford,Metropolitan district,-13149,1487,1883,-3259.67,254408,-51.68469545,5.844941983,7.401496808
Gateshead,Metropolitan district,-63,-2877,-1434,-1458,202508,-0.311098821,-14.20684615,-7.08120173
Bradford,Metropolitan district,-2684,-8408,207,-3628.33,537173,-4.99652812,-15.65231313,0.385350716
Wolverhampton,Metropolitan district,1571,-4275,-2592,-1765.33,262008,5.996000122,-16.31629569,-9.8928277
Doncaster,Metropolitan district,-1060,-2847,-2240,-2049,310542,-3.413386917,-9.167842031,-7.213194995
Rochdale,Metropolitan district,-536,-650,-2239,-1141.67,220001,-2.436352562,-2.954532025,-10.17722647
Tameside,Metropolitan district,-1408,-349,-717,-824.67,225197,-6.252303539,-1.549754215,-3.183879004
Calderdale,Metropolitan district,-581,-956,-470,-669,210082,-2.765586771,-4.55060405,-2.237221656
Sandwell,Metropolitan district,0,-71,-3048,-1039.67,327378,0,-0.216874683,-9.310338508
Knowsley,Metropolitan district,-483,-447,-418,-449.33,149571,-3.229235614,-2.988547245,-2.794659393
Sheffield,Metropolitan district,234.66,190,-2274,-616.45,582506,0.402845636,0.326176898,-3.90382245
Wigan,Metropolitan district,-205,-309,-478,-330.67,326088,-0.628664655,-0.947596968,-1.465861976
Wirral,Metropolitan district,0,-958,0,-319.33,323235,0,-2.963787956,0
Dudley,Metropolitan district,-24,-226,-490,-246.67,320626,-0.074853568,-0.704871096,-1.528260341
Solihull,Metropolitan district,-371,12,-91,-150,214909,-1.726312067,0.055837587,-0.423435035
Liverpool,Metropolitan district,-266,-306,-348,-306.67,494814,-0.537575736,-0.618414192,-0.703294571
Birmingham,Metropolitan district,52,180,-423,-63.67,1141374,0.045559124,0.157704661,-0.370605954
Walsall,Metropolitan district,0,-2,1,-0.33,283378,0,-0.007057711,0.003528855
North Tyneside,Metropolitan district,0,0,0,0,205985,0,0,0
Trafford,Metropolitan district,0,0,0,0,236370,0,0,0
Wakefield,Metropolitan district,0,0,0,0,345038,0,0,0
Sefton,Metropolitan district,-22,-51,92,6.33,275396,-0.079884966,-0.185187875,0.334064402
South Tyneside,Metropolitan district,-1,55,43,32.33,150265,-0.00665491,0.366020031,0.286161115
Sunderland,Metropolitan district,0,0,409,136.33,277417,0,0,1.47431484
St Helens,Metropolitan district,166,98,124,129.33,180049,0.921971241,0.544296275,0.688701409
Bolton,Metropolitan district,198,380,86,221.33,285372,0.69383121,1.331595251,0.301361031
Barnsley,Metropolitan district,443,463,-5,300.33,245199,1.806695786,1.888262187,-0.0203916
Rotherham,Metropolitan district,-134,121,2357,781.33,264671,-0.50628894,0.457171356,8.905395755
Leeds,Metropolitan district,13882,-5576,-653,2551,789194,17.59009825,-7.065436382,-0.827426463
Oldham,Metropolitan district,34912,3536,2649,13699,235623,148.1688969,15.00702393,11.24253575
Derbyshire,County council,-861,-730,-488,-1753.67,796142,-1.081465367,-0.916921856,-0.61295598
Surrey,County council,-1190,-969,-1088.15,-2521.72,1189934,-1.000055465,-0.814330879,-0.914462483
Leicestershire,County council,-776,-600,0,-1376,698268,-1.111321155,-0.859268934,0
Northamptonshire,County council,0,-1312,0,-1312,747622,0,-1.754897528,0
Nottinghamshire,County council,-459,-549,-245,-1089.67,823126,-0.557630302,-0.666969577,-0.297645804
North Yorkshire,County council,-510,0,0,-510,614505,-0.82993629,0,0
Lincolnshire,County council,1719,-1614,-1714,-466.33,755833,2.274311918,-2.135392342,-2.2676967
Suffolk,County council,-172,0,0,-172,758556,-0.226746608,0,0
Kent,County council,-3,-142,-442.73,-292.58,1568623,-0.001912505,-0.090525257,-0.282241176
Buckinghamshire,County council,0,0,0,0,540059,0,0,0
Cambridgeshire,County council,0,0,0,0,651482,0,0,0
Devon,County council,0,0,0,0,795286,0,0,0
Dorset*,County council,0,0,0,0,422900,0,0,0
East Sussex,County council,0,0,0,0,554590,0,0,0
Essex,County council,0,0,0,0,1477764,0,0,0
Gloucestershire,County council,0,0,0,0,633558,0,0,0
Hertfordshire,County council,0,0,0,0,1184365,0,0,0
